id	name	age	subordinateIds
1	Oralla Thorington	23	913,754
2	Mimi Mewburn	21	890,297
3	Isobel Kevern	28	603,912,222,130,350
4	Fitzgerald Aronowicz	33	579,449,417,402
5	Cyndia Yuranovev	32	768,187,546
6	Giustina Esparza	22	85
7	Ivett Dougliss	30	254,422,416
8	Ryon Bydaway	22	508,956,269,733
9	Rhona Bloor	31	599,667,548,638,147
10	Mohammed Quye	28	405
11	Ara Parysiak	29	784,339,368
12	Geraldine Longhorne	22	314,728,608,829
13	Louella Pendered	31	329,930,117,999,857
14	Clio Ranson	33	150,490,739,505,575
15	Brennen Stainfield	26	660,314,348,85
16	Gris Arkley	20	55,345,805
17	Perry Grimditch	31	340,887,812
18	Stevana Colafate	23	580,241,363,971,888
19	Bud Pavlenko	28	162,685
20	Inglebert Legat	21	740,96,540
21	Grannie Pinare	27	762,446,781,261,741
22	Laraine Coast	24	56,15
23	Rory Mc Curlye	27	408,680,393
24	Ainsley Reightley	27	881,804
25	Edi Spriggen	30	100,433,948,16,981
26	Calida Auten	29	535,997
27	Sebastien Freeborn	21	332,252
28	Hugues Billes	24	358,951,251
29	Kyle Croyden	32	617,518
30	Maxim Perle	26	286,324
31	Tatum Ensor	28	969,863,772
32	Morse Begg	25	476,688,425,932,906
33	Moyra Gobbet	21	639
34	Mab Hampe	22	401,220,430
35	Gaylor Oppie	29	527,300,562,9,48
36	Matthieu Qualtrough	32	626,655,694,257,7
37	Ingram Gurnell	25	966,84
38	Angus Eastment	20	274,429,162
39	Binky Burnup	26	439,512,636
40	Loralee Walford	32	620,760
41	Kaye Grzeszczyk	31	882,638,663,273
42	Micheil Cathrall	25	91,438,889
43	Marielle Theodore	25	760,108,157,854
44	Guthrey Armes	20	459
45	Daveen Coleshill	32	863,728,719,713,355
46	Drusie Di Matteo	24	229,7,507
47	Dell Hulburt	23	893,679,907
48	Loleta Synder	22	181,127,595,603,731
49	Dalenna Petrescu	18	407,295,550,308,823
50	Tudor Trippett	20	488
